epoch,L3_val_acc,L2_val_acc,L1_TBI_mean,L1_TBI_std,L2_TBI_mean,L2_TBI_std,L3_TBI_mean,L3_TBI_std,lambda_td_L2_L1,lambda_td_L3_L2,update_fraction,prediction_error,epoch_time_s
0,0.5089,0.2148,0.5237,0.1111,0.3492,0.2159,0.4563,0.1719,0.0000,0.0000,0.9991,0.0005,39.6
1,0.5196,0.2305,0.5237,0.1111,0.3706,0.2366,0.4374,0.1579,0.2632,0.2632,0.9937,0.0005,39.3
2,0.5339,0.2305,0.5237,0.1111,0.4030,0.2888,0.4297,0.1594,0.5263,0.5263,0.9703,0.0004,39.6
3,0.5357,0.2305,0.5237,0.1111,0.4141,0.3218,0.4121,0.1554,0.7895,0.7895,0.9026,0.0004,39.8
4,0.5482,0.2305,0.5237,0.1111,0.4134,0.3243,0.4082,0.1558,1.0526,1.0526,0.8448,0.0004,39.6
5,0.5601,0.2227,0.5237,0.1111,0.4175,0.3269,0.3962,0.1552,1.3158,1.3158,0.8303,0.0003,39.3
6,0.5458,0.2227,0.5237,0.1111,0.4234,0.3288,0.3724,0.1447,1.5789,1.5789,0.8513,0.0003,39.8
7,0.5577,0.2227,0.5237,0.1111,0.4285,0.3298,0.3703,0.1480,1.8421,1.8421,0.8515,0.0003,39.7
8,0.5685,0.2227,0.5237,0.1111,0.4331,0.3301,0.3670,0.1479,2.1053,2.1053,0.8548,0.0003,39.7
9,0.5411,0.2227,0.5237,0.1111,0.4355,0.3301,0.3742,0.1485,2.3684,2.3684,0.8613,0.0004,39.5
10,0.5589,0.2227,0.5237,0.1111,0.4386,0.3301,0.3873,0.1529,2.6316,2.6316,0.8491,0.0004,39.8
11,0.5661,0.2227,0.5237,0.1111,0.4489,0.3312,0.4004,0.1580,2.8947,2.8947,0.8439,0.0005,39.7
12,0.5173,0.2227,0.5237,0.1111,0.4668,0.3335,0.4093,0.1638,3.1579,3.1579,0.8578,0.0005,39.6
13,0.5292,0.2227,0.5237,0.1111,0.4783,0.3350,0.4216,0.1644,3.4211,3.4211,0.8396,0.0006,39.3
14,0.5452,0.2227,0.5237,0.1111,0.4712,0.3333,0.4282,0.1690,3.6842,3.6842,0.8299,0.0007,38.8
15,0.5369,0.2227,0.5237,0.1111,0.4653,0.3318,0.4410,0.1704,3.9474,3.9474,0.8524,0.0007,39.8
16,0.5405,0.2227,0.5237,0.1111,0.4640,0.3315,0.4574,0.1745,4.2105,4.2105,0.8461,0.0008,39.8
17,0.5393,0.2227,0.5237,0.1111,0.4717,0.3320,0.4766,0.1774,4.4737,4.4737,0.8361,0.0009,39.9
18,0.5458,0.2227,0.5237,0.1111,0.4909,0.3338,0.4862,0.1833,4.7368,4.7368,0.8526,0.0009,39.5
19,0.5488,0.2227,0.5237,0.1111,0.5128,0.3374,0.4944,0.1838,5.0000,5.0000,0.8556,0.0010,39.8
