epoch,L3_val_acc,L2_val_acc,L1_TBI_mean,L1_TBI_std,L2_TBI_mean,L2_TBI_std,L3_TBI_mean,L3_TBI_std,lambda_td_L2_L1,lambda_td_L3_L2,update_fraction,prediction_error,epoch_time_s
0,0.5613,0.2148,0.5237,0.1111,0.3492,0.2159,0.1483,0.0852,0.0000,0.0000,0.9963,0.0006,17.6
1,0.5435,0.2148,0.5237,0.1111,0.3166,0.2010,0.1480,0.0837,0.2632,0.2632,0.9985,0.0005,17.6
2,0.5512,0.2188,0.5237,0.1111,0.3073,0.1948,0.1434,0.0836,0.5263,0.5263,0.9963,0.0005,17.5
3,0.5429,0.2188,0.5237,0.1111,0.3053,0.1944,0.1319,0.0791,0.7895,0.7895,0.9989,0.0005,17.6
4,0.5708,0.2227,0.5237,0.1111,0.3031,0.1939,0.1325,0.0814,1.0526,1.0526,0.9983,0.0005,17.5
5,0.5714,0.2227,0.5237,0.1111,0.3035,0.1958,0.1336,0.0811,1.3158,1.3158,0.9957,0.0005,17.4
6,0.5667,0.2266,0.5237,0.1111,0.3026,0.1961,0.1290,0.0797,1.5789,1.5789,0.9991,0.0005,17.5
7,0.5750,0.2266,0.5237,0.1111,0.3012,0.1938,0.1269,0.0794,1.8421,1.8421,0.9963,0.0005,17.6
8,0.5726,0.2305,0.5237,0.1111,0.3041,0.1974,0.1231,0.0822,2.1053,2.1053,0.9950,0.0005,17.5
9,0.5607,0.2305,0.5237,0.1111,0.3089,0.2026,0.1198,0.0800,2.3684,2.3684,0.9952,0.0005,17.4
10,0.5792,0.2305,0.5237,0.1111,0.3210,0.2097,0.1236,0.0818,2.6316,2.6316,0.9950,0.0005,17.4
11,0.5863,0.2305,0.5237,0.1111,0.3512,0.2250,0.1245,0.0830,2.8947,2.8947,0.9987,0.0005,17.5
12,0.5780,0.2305,0.5237,0.1111,0.3631,0.2323,0.1246,0.0787,3.1579,3.1579,0.9983,0.0005,17.6
13,0.5577,0.2305,0.5237,0.1111,0.3559,0.2312,0.1217,0.0783,3.4211,3.4211,0.9987,0.0005,17.4
14,0.5780,0.2305,0.5237,0.1111,0.3667,0.2406,0.1218,0.0845,3.6842,3.6842,0.9937,0.0005,17.6
15,0.5732,0.2305,0.5237,0.1111,0.3760,0.2512,0.1218,0.0835,3.9474,3.9474,0.9957,0.0005,17.4
16,0.5815,0.2305,0.5237,0.1111,0.3784,0.2550,0.1199,0.0829,4.2105,4.2105,0.9942,0.0005,17.4
17,0.5667,0.2305,0.5237,0.1111,0.3883,0.2677,0.1184,0.0779,4.4737,4.4737,0.9933,0.0005,17.5
18,0.5869,0.2305,0.5237,0.1111,0.3939,0.2766,0.1156,0.0748,4.7368,4.7368,0.9972,0.0005,17.4
19,0.5839,0.2305,0.5237,0.1111,0.4024,0.2886,0.1183,0.0809,5.0000,5.0000,0.9968,0.0005,17.4
